,Evenement,ETP Gaussian,CS20 P Mean,CS20 P Rapid,CS20 P Karst,CS672 P Mean,CS672 P Rapid,CS672 P Karst,CS2688 P Mean,CS2688 P Rapid,CS2688 P Karst,CS8064 P Mean,CS8064 P Rapid,CS8064 P Karst,P Mean,P Rapid,P Karst,Toulon,Cap Cepet,Cas. SAPC,Castellet,Ste Baume,Meounes,Cuers,H LasLagoubran,Q Lagoubran,T Lagoubran,H Ragas,T Ragas,C Ragas,H StAntoine,Q StAntoine,T StAntoine,C StAntoine,Rapid Model,Karst Model
2014-11-12 01:45:00,32,3.926629993830905e-07,2.4571428571428573,5.466666666666667,0.2,60.72857142857144,37.56666666666667,78.1,67.14761904761906,42.11111111111112,85.925,242.2333333333333,233.3111111111112,248.925,0.7142857142857141,1.5999999999999996,0.05,3.5999999999999988,0.2,1.0,0.1,0.0,0.1,0.0,0.914,6.614034695440796,14.62,126.305,13.88,484.0,0.414,0.8334259979249123,15.57,535.0,0.7435784935951233,0.8987119327542616
2014-11-12 02:00:00,32,3.923215889221046e-07,2.8000000000000003,5.666666666666667,0.6499999999999999,61.07142857142858,37.76666666666667,78.55,67.4904761904762,42.31111111111112,86.375,242.57619047619045,233.51111111111112,249.375,0.3428571428571428,0.1999999999999999,0.4499999999999999,0.1,0.0,0.5,0.1,0.0,1.6999999999999995,0.0,0.919,6.709624075096303,14.63,126.277,13.89,484.0,0.413,0.8301978106809467,15.57,535.0,0.8034847974777222,0.933415406812625
2014-11-12 02:15:00,32,3.919804487259282e-07,3.285714285714286,5.666666666666667,1.5,61.557142857142864,37.766666666666666,79.4,67.97619047619048,42.31111111111111,87.22500000000001,243.0619047619048,233.51111111111112,250.225,0.4857142857142858,0.0,0.8500000000000002,0.0,0.0,0.0,0.0,0.2,3.2000000000000006,0.0,0.932,6.960166080057597,14.62,126.25,13.89,484.0,0.416,0.8398974077243768,15.57,535.0,0.7793190479278564,1.0176169436689584
2014-11-12 02:30:00,32,3.916395786058054e-07,3.585714285714286,5.666666666666667,2.025,61.85714285714286,37.76666666666667,79.925,68.27619047619048,42.31111111111112,87.75,243.36190476190475,233.51111111111112,250.75000000000009,0.3,0.0,0.525,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.992,8.151463458201599,14.66,126.22,13.89,485.0,0.415,0.8366591983970527,15.57,535.0,0.8117095828056335,1.136727826845974
2014-11-12 02:45:00,32,3.912989783730881e-07,3.935714285714286,5.833333333333334,2.5125,62.20714285714286,37.93333333333334,80.4125,68.62619047619049,42.47777777777778,88.2375,243.7119047619048,233.6777777777778,251.2375,0.35,0.1666666666666666,0.4875,0.0,0.0,0.5,0.1,0.0,0.0,1.85,1.031,8.953240292198695,14.54,126.183,13.89,485.0,0.415,0.8366591983970527,15.57,535.0,0.8274199664592743,1.1060308345228402
2014-11-12 03:00:00,32,3.909586478392387e-07,4.128571428571429,5.833333333333335,2.85,62.400000000000006,37.93333333333334,80.75,68.81904761904762,42.47777777777778,88.575,243.9047619047619,233.6777777777777,251.57500000000005,0.1928571428571428,0.0,0.3374999999999999,0.0,0.0,0.0,0.1,0.7999999999999999,0.0,0.45,1.053,9.4137926861289,14.53,126.135,13.89,485.0,0.417,0.8431406215420376,15.57,535.0,0.8289932012557983,1.020477967426893
2014-11-12 03:15:00,32,3.906185868158269e-07,4.242857142857143,5.833333333333334,3.0500000000000003,62.51428571428572,37.933333333333344,80.95000000000002,68.93333333333334,42.47777777777779,88.77500000000002,244.01904761904763,233.6777777777778,251.77500000000003,0.1142857142857142,0.0,0.1999999999999999,0.0,0.0,0.0,0.0,0.7999999999999999,0.0,0.0,1.007,8.4574919740251,14.49,126.1,13.89,485.0,0.417,0.8431406215420376,15.57,535.0,0.7745981216430664,0.9023507568454312
2014-11-12 03:30:00,32,3.902787951145342e-07,4.242857142857143,5.833333333333335,3.0500000000000003,62.51428571428572,37.933333333333344,80.95,68.93333333333334,42.47777777777779,88.775,244.01904761904763,233.6777777777777,251.77500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971,7.7283066371727,14.52,126.04,13.89,485.0,0.416,0.8398974077243768,15.57,535.0,0.7627593576908112,0.8950419092769193
2014-11-12 03:45:00,32,3.899392725471479e-07,4.271428571428571,5.9,3.0500000000000003,62.54285714285714,38.00000000000001,80.95000000000002,68.96190476190476,42.54444444444445,88.77500000000002,244.0476190476191,233.74444444444447,251.77500000000003,0.0285714285714285,0.0666666666666666,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.967,7.648435378029102,14.55,126.01,13.89,485.0,0.416,0.8398974077243768,15.56,535.0,0.7655530571937561,0.9045757791139386
2014-11-12 04:00:00,32,3.896000189255671e-07,4.271428571428571,5.9,3.0500000000000003,62.54285714285714,38.00000000000001,80.95,68.96190476190476,42.54444444444445,88.775,244.0476190476191,233.74444444444447,251.77500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.958,7.469610237378402,14.55,125.98,13.89,486.0,0.418,0.8463888354933077,15.57,535.0,0.7541316449642181,0.9036493357308276
